Date,ANC_all
2/20/2019,126.48
2/27/2019,121.76
3/5/2019,120.1
3/13/2019,128.34
3/19/2019,112.45
3/26/2019,99.68
4/1/2019,104.21
4/8/2019,100.05
4/15/2019,71.82
4/22/2019,61.42
5/1/2019,91.37
5/8/2019,98.51
5/13/2019,88.75
5/21/2019,93.28
5/29/2019,103.24
6/4/2019,105.66
6/12/2019,99.05
6/19/2019,118.63
6/26/2019,117.14
7/3/2019,127.54
7/10/2019,139.17
7/16/2019,148.99
7/24/2019,138.36
7/30/2019,163.99
8/6/2019,150.16
8/13/2019,145.11
8/20/2019,154.09
8/27/2019,151.49
9/3/2019,148.36
9/10/2019,149.74
9/17/2019,150.18
9/24/2019,124.2
10/1/2019,141.91
10/8/2019,105.15
10/15/2019,134.9
10/21/2019,126.43
10/28/2019,113.97
11/4/2019,118.31
11/13/2019,108.97
11/18/2019,119.47
11/26/2019,109.13
12/3/2019,109.4
12/11/2019,102.29
12/18/2019,114.86
12/23/2019,110.08
1/2/2020,106.3
1/8/2020,118.89
1/13/2020,89.45
1/22/2020,122.64
1/29/2020,119.48
2/5/2020,128.34
2/11/2020,100.76
2/17/2020,113.29
2/24/2020,118.39
3/2/2020,114.28
3/11/2020,84.44
3/16/2020,100.01
3/24/2020,112.12
3/31/2020,88.76
4/7/2020,87.06
4/15/2020,92.16
4/23/2020,77.71
4/28/2020,78.23
5/6/2020,102.84
5/12/2020,77.97
5/19/2020,100.18
5/27/2020,114.23
6/2/2020,118.08
6/9/2020,126.72
6/16/2020,143.94
6/22/2020,146.14
7/1/2020,121.07
7/7/2020,152.37
7/11/2020,193.1304203
7/12/2020,122.2832067
7/13/2020,145.43
7/14/2020,101.0253383
7/19/2020,148.0905079
7/21/2020,148.39
7/28/2020,146.96
8/3/2020,175.17
8/4/2020,113.3611672
8/5/2020,135.4222725
8/12/2020,152.33
8/18/2020,140.7559322
8/19/2020,155.11
8/26/2020,161.5
8/29/2020,171.1732643
9/1/2020,159.58
9/8/2020,165.68
9/14/2020,170.18
9/22/2020,164.1
9/28/2020,185.22
9/29/2020,163.3227931
9/30/2020,88.82078315
10/6/2020,153.98
10/10/2020,94.80092792
10/13/2020,107.5539312
10/14/2020,114.82
10/16/2020,95.68529342
10/17/2020,93.66339304
10/19/2020,121.97
10/27/2020,121.04
11/4/2020,117.93
11/10/2020,116.84
11/15/2020,92.23647173
11/16/2020,104.0990982
11/17/2020,116.68
11/23/2020,103.0712589
11/24/2020,111.02
11/30/2020,85.31647012
12/1/2020,92.7
12/8/2020,108.01
12/15/2020,120.75
12/22/2020,104.19
12/24/2020,95.89790116
12/25/2020,80.02325499
12/26/2020,90.93533229
12/28/2020,89.91
1/5/2021,117.6
1/12/2021,106.43
1/19/2021,118.68
1/26/2021,129.08
2/3/2021,125.65
2/10/2021,127.96
2/17/2021,113.19
2/24/2021,113.16
3/3/2021,129.24
3/4/2021,121.3548865
3/9/2021,120.38
3/16/2021,112.4
3/23/2021,91.8
3/25/2021,76.08080275
3/29/2021,78.28
4/5/2021,92.56
4/12/2021,114.84
4/19/2021,91.88
4/26/2021,95.1
4/29/2021,96.09295205
4/30/2021,84.05084597
5/3/2021,96.4
5/11/2021,111.36
5/17/2021,115.6853839
5/18/2021,106.41
5/25/2021,136.56
6/1/2021,130.18
6/9/2021,142.93
6/16/2021,141.22
6/19/2021,148.8456966
6/21/2021,144.4750731
6/29/2021,167.39
7/3/2021,117.3240961
7/6/2021,156.23
7/9/2021,132.119763
7/10/2021,145.6169082
7/13/2021,143.14
7/17/2021,152.4135959
7/18/2021,106.3637906
7/19/2021,113.65
7/25/2021,123.9889064
7/26/2021,141
8/2/2021,119.65
8/9/2021,159.75
8/14/2021,132.1432686
8/17/2021,152.05
8/24/2021,163.3
8/30/2021,114.7889868
8/31/2021,152.88
9/6/2021,162.4250983
9/7/2021,153.52
9/8/2021,121.4026882
9/9/2021,151.7338107
9/13/2021,159.18
9/21/2021,173.74
9/27/2021,156.4413409
9/28/2021,160.87
10/5/2021,143.16
10/12/2021,164.09
10/16/2021,119.4274815
10/17/2021,131.85708
10/18/2021,131.012423
10/19/2021,133.25
10/27/2021,130.08
10/31/2021,93.4884313
11/2/2021,120.04
11/9/2021,124.33
11/12/2021,112.6334541
11/13/2021,113.7551003
11/14/2021,108.15386
11/18/2021,96.73670344
11/29/2021,124.03
12/6/2021,98.01837344
12/7/2021,97.97
12/11/2021,94.43413228
12/12/2021,90.00190867
12/14/2021,120.75
12/21/2021,118.92
12/27/2021,116.17
1/4/2022,131.48
1/10/2022,125.24
